Dream,Original,Generated,BLEU,Perplexity,BERTScore,ROUGE-L
Flying,"Desire for freedom and liberation from constraints, sometimes related to family or societal pressures.","To dream that you are flying suggests your need to be more alert and aware of what is going on around ya. You may also want a little privacy in some situation or relationship, especially if it involves something illegal like drugs/alcohol use. Alternatively the dreaming indicates an inability for someone else (or even yourself)",0.004701712638603976,7.515593699982359,0.8331655859947205,0.05714285714285715
Teeth falling out,"Anxiety about loss, often symbolizing fear of losing authority or power.","To see or eat teeth in your dream symbolizes the need to rid yourself of unwanted emotions. You are feeling emotionally drained and/or overwhelmed by some situation that you have been avoiding for too long, especially if it is a relationship issue which has come up recently on social media (like ""I",0.004188635776841715,5.435324324918376,0.8340914845466614,0.09375
Being chased,Representation of repressed fears or internal conflicts the dreamer is struggling with.,"To dream that you are chasing someone suggests a lack of self-confidence and/or fear. You may be afraid to confront your fears or disappoint others in some way, especially if the pursuit is for money instead than fame! Alternatively it indicates an inability with confidence toward achieving goals which will ultimately lead towards failure",0.009009106352492559,7.578282635846611,0.8346419334411621,0.17647058823529413
Death of a loved one,"Unconscious wish to end a dependent or conflicted relationship, but also fear of loss.","To dream that you are dying represents your feelings and emotions. You may be feeling overwhelmed or emotionally drained by some situation in life. Alternatively, death symbolizes the loss of someone who is close to yours for many years.  Perhaps there has been an accident which will haunt you forever . The",0.004635487482440636,6.064675646467819,0.8397694826126099,0.09230769230769231
Falling from a great height,Feeling of losing control or fear of failure.,"To dream that you are falling is indicative of your subconscious mind. You need to be more conscious about what's going on around yourself and how it relates directly with the situation at hand, especially if there was some sort or other obstacle in front for someone else to overcome! Alternatively the fall",0.00410726430147258,8.961115961216969,0.8270110487937927,0.06451612903225806
Unprepared for an exam,Anxiety about performance and meeting external expectations.,"To dream that you are unprepared suggests a lack of self-confidence and/or inability to adapt. You may be feeling overwhelmed or lacking in some aspect, especially if the test is being given out at your school instead of on its own terms! Alternatively it indicates something which has been overlooked",0.0,7.870187413545297,0.8251901865005493,0.03389830508474577
Self-injury,Expression of guilt and a desire to punish oneself.,"To dream that you are self harming indicates your need to be more assertive and confrontational. You may also feel helpless in some situation or relationship, especially if the person is physically hurt by something they have done before them. Alternatively it suggests a lack of control over yourself which can lead into aggression",0.00479130933496022,6.7566252217633656,0.8454631567001343,0.06349206349206349
Arriving late to an important meeting,Persistent fear of not meeting expectations and missing opportunities.,"To dream that you are in the early stages of a major project indicates your need for reassurance and guidance. You may be feeling overwhelmed or under-researched by some situation, especially if it is something new coming up on stage at home! Alternatively the dreaming represents",0.004753731294736233,6.319627966488248,0.8284030556678772,0.07142857142857142
Infidelity,Anxiety related to trust and interpersonal relationships.,"To dream that you are infertile suggests a lack of self-esteem and/or an inability to control your emotions. You may be feeling insecure about yourself or lacking confidence in some aspect, especially if it is something which others have expressed their feelings for them at the time (e., sexual intercourse).",0.00366753025392797,5.350085186498132,0.831038236618042,0.06779661016949154
Losing a valuable item,Anxiety over loss of identity or personal value.,"To dream that you lost something indicates your need to be more decisive and take action. You are feeling overwhelmed or lacking in control of things, especially if the loss is trivialized by others who may not know what they want them for themselves. Alternatively it suggests an inability with which one has been",0.004458815748575231,9.131661854796986,0.8319225907325745,0.03225806451612903
Raging waters,Surging emotions trying to surface into consciousness.,"To see or dream that you are being chased by raging water indicates your need to escape from the confines of a situation. You may be feeling overwhelmed and/or emotionally drained, especially if there is no way out for yourself in life. Alternatively it suggests an emotional breakdown which will leave little time left on",0.003324612889947367,6.912633096818767,0.8327673077583313,0.031746031746031744
Passing through a tunnel,Symbol of rebirth or transition to a new life stage.,"To see or pass by an object in your dream represents the passage of time. You are experiencing some new aspect that you have never experienced before and may not be fully aware of yet, especially if it is something else entirely! Alternatively to seeing objects passing past indicates feelings lost inside yourself which can lead",0.0046154060111342435,8.285048644629619,0.8217812180519104,0.06060606060606061
Torn clothes,Fear of exposing flaws and weaknesses to others.,"To see torn clothing in your dream represents a loss of control and/or lack thereof. You are feeling helpless or powerless, unable to express yourself clearly enough for others around you (especially if the person is wearing ripped jeans). Alternatively it may be symbolic that someone has been hurt by their own body parts which",0.00395365330335517,7.548601879876163,0.8465972542762756,0.125
Feast or banquet,Desire for emotional or physical satisfaction.,"To dream that you are eating a feast suggests your need to be more open and honest about some aspect of yourself. You may also want the opportunity for an emotional connection with someone who is not necessarily in line behind what they eat, but still has something important on their mind! Alternatively it means there will",0.0038111203719291505,8.230287954408485,0.8255754113197327,0.06349206349206349
Talking to a deceased person,Attempt to process grief or recall values and messages from the deceased.,"To dream that you are talking with someone who is dead suggests your need for reassurance and comfort. You may be feeling overwhelmed or ashamed of something in life, especially if the death has been so painful it will take some time before things get better again. Alternatively the dreaming indicates an inability",0.004545435141870279,6.837829031584315,0.8291440606117249,0.09230769230769231
Winning a prize,Wish for recognition and self-worth affirmation.,"To dream that you are winning an award indicates your ability to overcome obstacles and disappointments. You may be able, in some way or another at overcoming the difficulties of life's problems with success. Alternatively it suggests how much time has passed since being awarded something important for which there is no reward whatsoever.",0.00402899484413971,7.475850163069853,0.8196777701377869,0.032258064516129024
