Dream,Original,Masked Version,Perplexity,BERTScore,ROUGE-L
Flying,"Desire for freedom and liberation from constraints, sometimes related to family or societal pressures.","Desire for [MASK] and liberation from constraints, sometimes related to family or societal pressures.",33.02121353149414,0.9650430679321289,0.9285714285714286
Teeth falling out,"Anxiety about loss, often symbolizing fear of losing authority or power.",Anxiety about [MASK] often symbolizing fear of losing authority or power.,40.832462310791016,0.946632981300354,0.9090909090909091
Being chased,Representation of repressed fears or internal conflicts the dreamer is struggling with.,Representation of [MASK] fears or internal conflicts the dreamer is struggling with.,35.568180084228516,0.9677317142486572,0.9166666666666666
Death of a loved one,"Unconscious wish to end a dependent or conflicted relationship, but also fear of loss.","Unconscious wish [MASK] end a dependent or conflicted relationship, but also fear of loss.",47.50345230102539,0.9576783180236816,0.9285714285714286
Falling from a great height,Feeling of losing control or fear of failure.,Feeling of [MASK] control or fear of failure.,231.5529327392578,0.9353204965591431,0.875
Unprepared for an exam,Anxiety about performance and meeting external expectations.,Anxiety about [MASK] and meeting external expectations.,379.08135986328125,0.9433355331420898,0.8571428571428571
Self-injury,Expression of guilt and a desire to punish oneself.,Expression of [MASK] and a desire to punish oneself.,117.96743774414062,0.9482762217521667,0.8888888888888888
Arriving late to an important meeting,Persistent fear of not meeting expectations and missing opportunities.,Persistent fear [MASK] not meeting expectations and missing opportunities.,191.83509826660156,0.9399458765983582,0.8888888888888888
Infidelity,Anxiety related to trust and interpersonal relationships.,Anxiety related [MASK] trust and interpersonal relationships.,165.4438018798828,0.9393121004104614,0.8571428571428571
Losing a valuable item,Anxiety over loss of identity or personal value.,Anxiety over [MASK] of identity or personal value.,170.6611328125,0.9291921854019165,0.875
Raging waters,Surging emotions trying to surface into consciousness.,Surging emotions [MASK] to surface into consciousness.,171.91519165039062,0.9473685622215271,0.8571428571428571
Passing through a tunnel,Symbol of rebirth or transition to a new life stage.,Symbol of [MASK] or transition to a new life stage.,58.19696807861328,0.9417400360107422,0.9
Torn clothes,Fear of exposing flaws and weaknesses to others.,Fear of [MASK] flaws and weaknesses to others.,164.89903259277344,0.920578122138977,0.875
Feast or banquet,Desire for emotional or physical satisfaction.,Desire for [MASK] or physical satisfaction.,865.4795532226562,0.8932497501373291,0.8333333333333334
Talking to a deceased person,Attempt to process grief or recall values and messages from the deceased.,Attempt to [MASK] grief or recall values and messages from the deceased.,73.84529876708984,0.9318668842315674,0.9166666666666666
Winning a prize,Wish for recognition and self-worth affirmation.,Wish for [MASK] and self-worth affirmation.,69.34339141845703,0.9501746296882629,0.8571428571428571
Entering an unfamiliar house,Exploration of unconscious aspects of the self.,Exploration of [MASK] aspects of the self.,271.5570373535156,0.9459700584411621,0.8571428571428571
Meeting with an authority figure,Processing of conflicts with authority figures in real life.,Processing of [MASK] with authority figures in real life.,582.1795043945312,0.9340828061103821,0.8888888888888888
Aggressive animal,Representation of primitive drives or repressed anger.,Representation of [MASK] drives or repressed anger.,126.46587371826172,0.9471040368080139,0.8571428571428571
Drowning,Feeling emotionally overwhelmed or unable to cope with problems.,Feeling emotionally [MASK] or unable to cope with problems.,86.89356994628906,0.9435486793518066,0.8888888888888888
Returning to a childhood home,Search for security and roots.,Search for security and roots.,747.9779052734375,1.0,1.0
Small child,"Wish for purity and innocence, or a need for protection and support.","Wish for [MASK] and innocence, or a need for protection and support.",52.57597732543945,0.9556928873062134,0.9166666666666666
Climbing stairs,Personal or professional advancement.,Personal or professional advancement.,858.4552612304688,1.0,1.0
