Dream,Original,Generated,BLEU,Perplexity,BERTScore,ROUGE-L
Flying,"Desire for freedom and liberation from constraints, sometimes related to family or societal pressures.",To dream that you are flying indicates that your subconscious is trying to control your emotions. You are tryingto control what you feel is happening in your life.,0.006716472052354862,1.1961425181060525,0.8074076175689697,0.047619047619047616
Teeth falling out,"Anxiety about loss, often symbolizing fear of losing authority or power.",To see your teeth falling out in your dream symbolizes your desire to be more feminine and feminine. You are looking for a way to express yourself in waking life.,0.0,1.3227765459091376,0.8513317704200745,0.04878048780487805
Being chased,Representation of repressed fears or internal conflicts the dreamer is struggling with.,To dream that you are being chased indicates that your subconscious is trying to get you to a place where you can be more confident and confident. You are tryingto get yourself to be able to control your emotions.,0.004744188024111083,1.184700263673676,0.8304505348205566,0.039215686274509796
Death of a loved one,"Unconscious wish to end a dependent or conflicted relationship, but also fear of loss.",To dream that you are dying indicates that there is something that is missing from your life. You are unable to find your way back to your childhood.,0.006716472052354862,1.1984707311486975,0.825509250164032,0.047619047619047616
Falling from a great height,Feeling of losing control or fear of failure.,To dream that you are falling from a great height represents your desire to be more agile and agile. You are also looking for reassurance and security.,0.0,1.263029662858623,0.83953458070755,0.0
Unprepared for an exam,Anxiety about performance and meeting external expectations.,To dream that you are unprepared for an exam indicates that your subconscious is not able to cope with the challenges of your life. You are not ready to face the reality of life and the difficulties of it.,0.004744188024111083,1.1185683843120626,0.8277952671051025,0.043478260869565216
Self-injury,Expression of guilt and a desire to punish oneself.,To dream that you are self-injury indicates that your subconscious is trying to manipulate you. You are trying too hard to control your emotions.,0.007913247271422612,1.137968528252247,0.851225733757019,0.058823529411764705
Arriving late to an important meeting,Persistent fear of not meeting expectations and missing opportunities.,To dream that you are late to an important meeting indicates that your life is in a state of flux. You are in need of some direction.,0.008301095462822575,1.4329207358645164,0.8137816190719604,0.05555555555555555
Infidelity,Anxiety related to trust and interpersonal relationships.,To dream that you are infidelity indicates that your feelings of infidence are being distorted. You are not being honest with yourself.,0.0,1.1740382817752488,0.8255521059036255,0.06896551724137931
Losing a valuable item,Anxiety over loss of identity or personal value.,To dream that you are losing a valuable item indicates that your subconscious is trying to manipulate you. You are trying desperately to control your emotions.,0.0,1.150301677077395,0.8375239968299866,0.0
Raging waters,Surging emotions trying to surface into consciousness.,To see raging waters in your dream symbolizes your desire to be a part of something. You are trying to get out of your own way.,0.015365418390819783,1.3974561814331017,0.8523861169815063,0.12121212121212123
Passing through a tunnel,Symbol of rebirth or transition to a new life stage.,To dream that you are passing through a tunnel indicates that your subconscious is trying to control your emotions. You are trying too hard to keep up with the times.,0.007425868202031369,1.1524894172940208,0.81207275390625,0.1
Torn clothes,Fear of exposing flaws and weaknesses to others.,To see or wear thorny clothes in your dream symbolizes your inability to express yourself. You are unable to communicate with others.,0.010331208012220438,1.1925909134983097,0.8525245785713196,0.13333333333333333
Feast or banquet,Desire for emotional or physical satisfaction.,To dream that you are at a feast or banquet indicates that your dream is about expressing your feelings and feelings. You are trying to express your emotions and emotions in receptive ways.,0.005648892151960285,1.2789456509968087,0.8146166801452637,0.05128205128205128
Talking to a deceased person,Attempt to process grief or recall values and messages from the deceased.,To dream that you are talking to a deceased person indicates that your feelings are being repressed. You are feeling deprived of your own feelings.,0.007575731225158965,1.1446185049142616,0.8330039381980896,0.10810810810810811
Winning a prize,Wish for recognition and self-worth affirmation.,To dream that you are winning a prize indicates that your subconscious is trying to manipulate you. You are trying too hard to control your emotions.,0.0,1.1590984776059536,0.8191602826118469,0.0
Entering an unfamiliar house,Exploration of unconscious aspects of the self.,To dream that you are entering an unfamiliar house indicates that your subconscious is trying to manipulate your emotions. You are tryingto manipulate yourself and your feelings.,0.0,1.2062958499326524,0.8456645011901855,0.0
Meeting with an authority figure,Processing of conflicts with authority figures in real life.,To dream that you are meeting with an authority figure indicates that your relationship is being re-established. You are feeling a sense of authority.,0.01041441909198652,1.4774539382175367,0.85122150182724,0.1764705882352941
Aggressive animal,Representation of primitive drives or repressed anger.,To see an aggressive animal in your dream symbolizes aggression and aggression. You are trying to control your emotions.,0.0,1.1796088480161568,0.8394516110420227,0.0
Drowning,Feeling emotionally overwhelmed or unable to cope with problems.,To dream that you are drowning indicates that your subconscious is trying to control your emotions. You are trying too hard to keep up with the times.,0.008301095462822575,1.114773654848796,0.8324876427650452,0.16666666666666666
Returning to a childhood home,Search for security and roots.,To dream that you are returning to a childhood home indicates that there is something that is missing from your life. You are feeling lost and lost.,0.006980361417366381,1.2065386345847013,0.8168685436248779,0.0625
Small child,"Wish for purity and innocence, or a need for protection and support.",To see a small child in your dream symbolizes your inner strength and inner power. You are able to express yourself in expressing your feelings and feelings.,0.009186672262412125,1.2213909115250745,0.8348842263221741,0.10256410256410256
Climbing stairs,Personal or professional advancement.,To dream that you are climbing stairs indicates that your subconscious is trying to control your emotions. You are tryingto control what you feel.,0.0,1.1966668878806752,0.8087409138679504,0.0
Locked gate,Feeling of being blocked in personal or professional life.,To see a locked gate in your dream symbolizes your desire to escape from your life. You are looking for reassurance and security.,0.009849349468888718,1.2459497895276146,0.847248911857605,0.125
Pregnancy,"Creativity, new ideas, or projects coming to fruition.",To dream that you are pregnant indicates that your subconscious is trying to manipulate your emotions and emotions. You are tryingto manipulate yourself into a way that is causing you to feel uneasy.,0.005648892151960285,1.1644379211827638,0.8253239393234253,0.04878048780487805
Unexpected sexual encounter,Expression of repressed sexual desires or a need for closer intimacy.,To dream that you are having an unexpected sexual encounter indicates that your subconscious is trying to manipulate you. You are tryingto manipulate your emotions and emotions.,0.006980361417366381,1.1718077841199213,0.8456333875656128,0.05263157894736842
